"Number","Sp. ","Date","Measuring (body)","Measuring (tail)","Comments","Who used","sp.ID","species","date caught","Length.body (mm)","Length.tail (mm)","number of tails","status","notes"
"L01","andromache",,9.0,,,"Alathea",,,,,,,,
"L02","andromache",,10.0,3.5,3,"Andrew",,,,,,,,
"L03","andromache",,10.0,1,2.5,"Andrew",,,,,,,,
"L04","elongatum","6-8 feb",6.0,,,"alive",,,,,,,,
"L05","andromache",,17.0,,,"Andrew",,,,,,,,
"L06","andromache",,9.0,,,"Alathea",,,,,,,,
"L07","andromache",,9.0,,,"Alathea",,,,,,,,
"L08","sp.B.tan",,14.0,,,"alive",,,,,,,,
"L09","small",,4.0,,,"alive",,,,,,,,
"L10","andromache",,7.0,,,"alive",,,,,,,,
"L11","andromache",,8.0,,,"Alathea",,,,,,,,
"L12","andromache",,10.0,,,"Andrew",,,,,,,,
"L13","small",,3.0,,,"alive",,,,,,,,
"L14","small",,2.0,,,"alive",,,,,,,,
"L15","small",,3.0,,,"alive",,,,,,,,
"L16","NA",,18.0,,,"dead",,,,,,,,
"L17","elongatum",,14.0,,,"Andrew",,,,,,,,
"L18","elongatum",,15.0,,,"Andrew",,,,,,,,
"L19","sp.B.tan",,14.0,,,"alive",,,,,,,,
"L20","dark",,14.0,,,"alive",,,,,,,,
"L21","andromache",,10.0,,,"Andrew",,,,,,,,
"L22","andromache",,12.0,,,"Andrew",,,,,,,,
"L23","elongatum",,9.0,,,"Andrew",,,,,,,,
"L24","dark",,14.0,,,"alive",,,,,,,,
"L25","elongatum",,14.0,,,"Andrew",,,,,,,,
"L26","small",,"NA",,,"alive",,,,,,,,
"L27","small",,"NA",,,"alive",,,,,,,,
"L28","small",,"NA",,,"alive",,,,,,,,
"L29","small",,"NA",,,"alive",,,,,,,,
"L30","small",,"NA",,,"alive",,,,,,,,
"L31","small",,"NA",,,"alive",,,,,,,,
"L32","small",,"NA",,,"alive",,,,,,,,
"L33","small",,"NA",,,"alive",,,,,,,,
"L34","small",,"NA",,,"alive",,,,,,,,
"L35","small",,"NA",,,"alive",,,,,,,,
"L36","small",,"NA",,,"alive",,,,,,,,
"L37","small",,"NA",,,"alive",,,,,,,,
"L38","small",,"NA",,,"alive",,,,,,,,
"L39","small",,"NA",,,"alive",,,,,,,,
"L40","small",,"NA",,,"alive",,,,,,,,
"L41","elongatum",,8.0,,,"alive",,,,,,,,
"L42","andromache",,9.0,,,"Alathea",,,,,,,,
"L43","sp.B.tan",,14.0,,,"alive",,,,,,,,
"L44","sp.B.tan",,14.0,,,"alive",,,,,,,,
"L45","andromache",,8.0,,,"dead",,,,,,,,
"L46","small",,"NA",,,"dead",,,,,,,,
