"sp.ID","species","Length (mm)"
"L01","andromache",9
"L02","andromache",10
"L03","andromache",10
"L04","elongatum",6
"L05","andromache",17
"L06","andromache",9
"L07","andromache",9
"L08","sp.B.tan",14
"L09","small",4
"L10","andromache",7
"L11","andromache",8
"L12","andromache",10
"L13","small",3
"L14","small",2
"L15","small",3
"L16","NA",18
"L17","elongatum",14
"L18","elongatum",15
"L19","sp.B.tan",14
"L20","dark",14
"L21","andromache",10
"L22","andromache",12
"L23","elongatum",9
"L24","dark",14
"L25","elongatum",14
"L26","small","NA"
"L27","small","NA"
"L28","small","NA"
"L29","small","NA"
"L30","small","NA"
"L31","small","NA"
"L32","small","NA"
"L33","small","NA"
"L34","small","NA"
"L35","small","NA"
"L36","small","NA"
"L37","small","NA"
"L38","small","NA"
"L39","small","NA"
"L40","small","NA"
"L41","elongatum",8
"L42","andromache",9
"L43","sp.B.tan",14
"L44","sp.B.tan",14
"L45","andromache",8
"L46","small","NA"
"L47","elongatum","NA"
"L48","sp.B.tan",12
"L49","NA","NA"
"L50","sp.B.tan",14
"L51","sp.B.tan",8
"L52","elongatum",16
"L53","elongatum",10
"L54","elongatum",14
"L55","elongatum",15
"L56","elongatum",20
"L57","elongatum",9
"L58","elongatum",9
"L59","elongatum",8
"L60","elongatum",17
"L61","elongatum",15
