Leptagrion.andromache	0.0	20.0	20.0	16.0	20.0	20.0	16.0	12.0	3.0	3.0	19.0	19.0	15.0	15.0
Monopelopia	20.0	0.0	8.0	12.0	24.0	24.0	20.0	24.0	19.0	19.0	7.0	23.0	19.0	19.0
Bezzia.sp1	20.0	8.0	0.0	12.0	24.0	24.0	20.0	24.0	19.0	19.0	3.0	23.0	19.0	19.0
Corethrella	16.0	12.0	12.0	0.0	20.0	20.0	16.0	20.0	15.0	15.0	11.0	19.0	15.0	15.0
Dolichopodidae	20.0	24.0	24.0	20.0	0.0	8.0	12.0	24.0	19.0	19.0	23.0	7.0	11.0	11.0
Empididae.sp1	20.0	24.0	24.0	20.0	8.0	0.0	12.0	24.0	19.0	19.0	23.0	3.0	11.0	11.0
Tabanidae.spC	16.0	20.0	20.0	16.0	12.0	12.0	0.0	20.0	15.0	15.0	19.0	11.0	3.0	3.0
Hirudinidae	12.0	24.0	24.0	20.0	24.0	24.0	20.0	0.0	11.0	11.0	23.0	23.0	19.0	19.0
Leptagrion.elongatum	3.0	19.0	19.0	15.0	19.0	19.0	15.0	11.0	0.0	2.0	18.0	18.0	14.0	14.0
Leptagrion.tan	3.0	19.0	19.0	15.0	19.0	19.0	15.0	11.0	2.0	0.0	18.0	18.0	14.0	14.0
Bezzia.sp2	19.0	7.0	3.0	11.0	23.0	23.0	19.0	23.0	18.0	18.0	0.0	22.0	18.0	18.0
Empididae.sp2	19.0	23.0	23.0	19.0	7.0	3.0	11.0	23.0	18.0	18.0	22.0	0.0	10.0	10.0
Tabanidae.spA	15.0	19.0	19.0	15.0	11.0	11.0	3.0	19.0	14.0	14.0	18.0	10.0	0.0	2.0
Tabanidae.spB	15.0	19.0	19.0	15.0	11.0	11.0	3.0	19.0	14.0	14.0	18.0	10.0	2.0	0.0
