"species_pair","overlap","nspp","phylopred1","phylopred2","phylodistance","L_or_R"
"Hirudinidae_Leptagrion.andromache",0.920993106548543,5,"Leptagrion.andromache","Hirudinidae",1122,"pairs_LH"
"Hirudinidae_Leptagrion.elongatum",0.836194023358652,7,"Leptagrion.elongatum","Hirudinidae",1122,"pairs_LH"
"Hirudinidae_Leptagrion.tan",0.819897861561296,6,"Leptagrion.tan","Hirudinidae",1122,"pairs_LH"
"Hirudinidae_Monopelopia",0.75601125625139,3,"Monopelopia","Hirudinidae",1122,"pairs_LH"
"Hirudinidae_Tabanidae.spA",0.725939963596722,4,"Tabanidae.spA","Hirudinidae",1122,"pairs_LH"
"Hirudinidae_Tabanidae.spB",0.755689082789818,2,"Tabanidae.spB","Hirudinidae",1122,"pairs_LH"
"Hirudinidae_Tabanidae.spC",0.789352217376326,2,"Tabanidae.spC","Hirudinidae",1122,"pairs_LH"
"Leptagrion.andromache_Leptagrion.elongatum",0.965343452656107,8,"Leptagrion.andromache","Leptagrion.elongatum",30,"pairs_RH"
"Leptagrion.andromache_Leptagrion.tan",0.928491378401387,6,"Leptagrion.andromache","Leptagrion.tan",30,"pairs_RH"
"Leptagrion.andromache_Monopelopia",0.8230066229854,4,"Leptagrion.andromache","Monopelopia",761.5,"pairs_RH"
"Leptagrion.andromache_Tabanidae.spA",0.81650546303115,7,"Leptagrion.andromache","Tabanidae.spA",761.5,"pairs_RH"
"Leptagrion.andromache_Tabanidae.spB",0.924016832421891,2,"Leptagrion.andromache","Tabanidae.spB",761.5,"pairs_RH"
"Leptagrion.andromache_Tabanidae.spC",0.942990333582889,2,"Leptagrion.andromache","Tabanidae.spC",761.5,"pairs_RH"
"Leptagrion.elongatum_Leptagrion.tan",0.978938366993693,11,"Leptagrion.tan","Leptagrion.elongatum",30,"pairs_LH"
"Leptagrion.elongatum_Monopelopia",0.942226095711662,6,"Leptagrion.elongatum","Monopelopia",761.5,"pairs_RH"
"Leptagrion.elongatum_Tabanidae.spA",0.906915343251726,7,"Leptagrion.elongatum","Tabanidae.spA",761.5,"pairs_RH"
"Leptagrion.elongatum_Tabanidae.spB",0.992061421937435,2,"Leptagrion.elongatum","Tabanidae.spB",761.5,"pairs_RH"
"Leptagrion.elongatum_Tabanidae.spC",0.997333723591566,2,"Leptagrion.elongatum","Tabanidae.spC",761.5,"pairs_RH"
"Leptagrion.tan_Monopelopia",0.960456801237949,6,"Leptagrion.tan","Monopelopia",761.5,"pairs_RH"
"Leptagrion.tan_Tabanidae.spA",0.971006366862563,5,"Leptagrion.tan","Tabanidae.spA",761.5,"pairs_RH"
"Leptagrion.tan_Tabanidae.spB",0.984957024646314,2,"Leptagrion.tan","Tabanidae.spB",761.5,"pairs_RH"
"Leptagrion.tan_Tabanidae.spC",0.992733782033708,2,"Leptagrion.tan","Tabanidae.spC",761.5,"pairs_RH"
"Monopelopia_Tabanidae.spA",0.995714661322632,3,"Monopelopia","Tabanidae.spA",530.4,"pairs_RH"
"Monopelopia_Tabanidae.spB",0.999963683538341,2,"Monopelopia","Tabanidae.spB",530.4,"pairs_RH"
"Monopelopia_Tabanidae.spC",0.999008925542185,2,"Monopelopia","Tabanidae.spC",530.4,"pairs_RH"
"Tabanidae.spA_Tabanidae.spB",0.995600143653054,2,"Tabanidae.spA","Tabanidae.spB",40,"pairs_RH"
"Tabanidae.spA_Tabanidae.spC",0.999168053100577,2,"Tabanidae.spA","Tabanidae.spC",40,"pairs_RH"
"Tabanidae.spB_Tabanidae.spC",0.998593309713132,2,"Tabanidae.spB","Tabanidae.spC",40,"pairs_RH"
