"species_pair","overlap","nspp"
"Bezzia.sp1_Bezzia.sp2",0.165535715849943,25
"Bezzia.sp1_Corethrella",0.557027125406356,25
"Bezzia.sp1_Dolichopodidae",0.426411464199408,25
"Bezzia.sp1_Empididae.sp1",0.109311959079166,25
"Bezzia.sp1_Empididae.sp2",0,25
"Bezzia.sp1_Hirudinidae",0.204418383798927,25
"Bezzia.sp1_Leptagrion.andromache",0.194825082243967,25
"Bezzia.sp1_Leptagrion.elongatum",0.103066792055051,25
"Bezzia.sp1_Leptagrion.tan",0.370028637471217,25
"Bezzia.sp1_Monopelopia",0.280077525113859,25
"Bezzia.sp1_Tabanidae.spA",0.158365307322113,25
"Bezzia.sp1_Tabanidae.spB",0,25
"Bezzia.sp1_Tabanidae.spC",0,25
"Bezzia.sp2_Corethrella",0.701929083317721,25
"Bezzia.sp2_Dolichopodidae",0,25
"Bezzia.sp2_Empididae.sp1",0.760481247946893,25
"Bezzia.sp2_Empididae.sp2",0,25
"Bezzia.sp2_Hirudinidae",0.173281751686365,25
"Bezzia.sp2_Leptagrion.andromache",0.410397672721624,25
"Bezzia.sp2_Leptagrion.elongatum",0.746713852197381,25
"Bezzia.sp2_Leptagrion.tan",0.330293752163632,25
"Bezzia.sp2_Monopelopia",0.906966669135592,25
"Bezzia.sp2_Tabanidae.spA",0.773069818374099,25
"Bezzia.sp2_Tabanidae.spB",0.614938121914784,25
"Bezzia.sp2_Tabanidae.spC",0.342316457502232,25
"Corethrella_Dolichopodidae",0.367322720570491,25
"Corethrella_Empididae.sp1",0.562319154383673,25
"Corethrella_Empididae.sp2",0.0733562535378299,25
"Corethrella_Hirudinidae",0.314238003340222,25
"Corethrella_Leptagrion.andromache",0.583866159280639,25
"Corethrella_Leptagrion.elongatum",0.485915739660315,25
"Corethrella_Leptagrion.tan",0.612291825034624,25
"Corethrella_Monopelopia",0.769640955927608,25
"Corethrella_Tabanidae.spA",0.657025345384624,25
"Corethrella_Tabanidae.spB",0.71604930239582,25
"Corethrella_Tabanidae.spC",0.578808039550636,25
"Dolichopodidae_Empididae.sp1",0,25
"Dolichopodidae_Empididae.sp2",0,25
"Dolichopodidae_Hirudinidae",0.18344443798485,25
"Dolichopodidae_Leptagrion.andromache",0.158747677661156,25
"Dolichopodidae_Leptagrion.elongatum",0,25
"Dolichopodidae_Leptagrion.tan",0.827271100360007,25
"Dolichopodidae_Monopelopia",0,25
"Dolichopodidae_Tabanidae.spA",0.0851779608743012,25
"Dolichopodidae_Tabanidae.spB",0,25
"Dolichopodidae_Tabanidae.spC",0,25
"Empididae.sp1_Empididae.sp2",0,25
"Empididae.sp1_Hirudinidae",0.134166406818807,25
"Empididae.sp1_Leptagrion.andromache",0.389594952107126,25
"Empididae.sp1_Leptagrion.elongatum",0.680655373355229,25
"Empididae.sp1_Leptagrion.tan",0.134815135696726,25
"Empididae.sp1_Monopelopia",0.69942582472097,25
"Empididae.sp1_Tabanidae.spA",0.550608008782185,25
"Empididae.sp1_Tabanidae.spB",0.300608532023929,25
"Empididae.sp1_Tabanidae.spC",0,25
"Empididae.sp2_Hirudinidae",0.278460664938085,25
"Empididae.sp2_Leptagrion.andromache",0.0825706697292215,25
"Empididae.sp2_Leptagrion.elongatum",0,25
"Empididae.sp2_Leptagrion.tan",0,25
"Empididae.sp2_Monopelopia",0.0922626616084043,25
"Empididae.sp2_Tabanidae.spA",0,25
"Empididae.sp2_Tabanidae.spB",0,25
"Empididae.sp2_Tabanidae.spC",0,25
"Hirudinidae_Leptagrion.andromache",0.114640639139482,25
"Hirudinidae_Leptagrion.elongatum",0.0783358826025839,25
"Hirudinidae_Leptagrion.tan",0.161511815796541,25
"Hirudinidae_Monopelopia",0.206213520686226,25
"Hirudinidae_Tabanidae.spA",0.105098129006629,25
"Hirudinidae_Tabanidae.spB",0.0301057735247379,25
"Hirudinidae_Tabanidae.spC",0,25
"Leptagrion.andromache_Leptagrion.elongatum",0.341222518266066,25
"Leptagrion.andromache_Leptagrion.tan",0.412838291213706,25
"Leptagrion.andromache_Monopelopia",0.510656700295829,25
"Leptagrion.andromache_Tabanidae.spA",0.246338203959927,25
"Leptagrion.andromache_Tabanidae.spB",0.470607872574855,25
"Leptagrion.andromache_Tabanidae.spC",0.483783187763262,25
"Leptagrion.elongatum_Leptagrion.tan",0.391497875758694,25
"Leptagrion.elongatum_Monopelopia",0.589379272316023,25
"Leptagrion.elongatum_Tabanidae.spA",0.297773574392805,25
"Leptagrion.elongatum_Tabanidae.spB",0.230734985748213,25
"Leptagrion.elongatum_Tabanidae.spC",0.070076043087156,25
"Leptagrion.tan_Monopelopia",0.310237409596603,25
"Leptagrion.tan_Tabanidae.spA",0.264146971273104,25
"Leptagrion.tan_Tabanidae.spB",0.331735469409178,25
"Leptagrion.tan_Tabanidae.spC",0.337079020790102,25
"Monopelopia_Tabanidae.spA",0.860235749518077,25
"Monopelopia_Tabanidae.spB",0.65178306375276,25
"Monopelopia_Tabanidae.spC",0.393794494811287,25
"Tabanidae.spA_Tabanidae.spB",0.667573577144589,25
"Tabanidae.spC_Tabanidae.spA",0.354703361118229,25
"Tabanidae.spC_Tabanidae.spB",0.916773478250149,25
