"species_pair","overlap","nspp","phylopred1","phylopred2","phylodistance","L_or_R"
"Bezzia.sp1_Bezzia.sp2",0.165535715849943,25,"Bezzia.sp2","Bezzia.sp1",30,"pairs_LH"
"Bezzia.sp1_Corethrella",0.557027125406356,25,"Bezzia.sp1","Corethrella",440,"pairs_RH"
"Bezzia.sp1_Dolichopodidae",0.426411464199408,25,"Bezzia.sp1","Dolichopodidae",530.4,"pairs_RH"
"Bezzia.sp1_Empididae.sp1",0.109311959079166,25,"Bezzia.sp1","Empididae.sp1",530.4,"pairs_RH"
"Bezzia.sp1_Empididae.sp2",0,25,"Bezzia.sp1","Empididae.sp2",530.4,"pairs_RH"
"Bezzia.sp1_Hirudinidae",0.204418383798927,25,"Bezzia.sp1","Hirudinidae",1122,"pairs_RH"
"Bezzia.sp1_Leptagrion.andromache",0.194825082243967,25,"Leptagrion.andromache","Bezzia.sp1",761.5,"pairs_LH"
"Bezzia.sp1_Leptagrion.elongatum",0.103066792055051,25,"Leptagrion.elongatum","Bezzia.sp1",761.5,"pairs_LH"
"Bezzia.sp1_Leptagrion.tan",0.370028637471217,25,"Leptagrion.tan","Bezzia.sp1",761.5,"pairs_LH"
"Bezzia.sp1_Monopelopia",0.280077525113859,25,"Monopelopia","Bezzia.sp1",426,"pairs_LH"
"Bezzia.sp1_Tabanidae.spA",0.158365307322113,25,"Bezzia.sp1","Tabanidae.spA",530.4,"pairs_RH"
"Bezzia.sp1_Tabanidae.spB",0,25,"Bezzia.sp1","Tabanidae.spB",530.4,"pairs_RH"
"Bezzia.sp1_Tabanidae.spC",0,25,"Bezzia.sp1","Tabanidae.spC",530.4,"pairs_RH"
"Bezzia.sp2_Corethrella",0.701929083317721,25,"Bezzia.sp2","Corethrella",440,"pairs_RH"
"Bezzia.sp2_Dolichopodidae",0,25,"Bezzia.sp2","Dolichopodidae",530.4,"pairs_RH"
"Bezzia.sp2_Empididae.sp1",0.760481247946893,25,"Bezzia.sp2","Empididae.sp1",530.4,"pairs_RH"
"Bezzia.sp2_Empididae.sp2",0,25,"Bezzia.sp2","Empididae.sp2",530.4,"pairs_RH"
"Bezzia.sp2_Hirudinidae",0.173281751686365,25,"Bezzia.sp2","Hirudinidae",1122,"pairs_RH"
"Bezzia.sp2_Leptagrion.andromache",0.410397672721624,25,"Leptagrion.andromache","Bezzia.sp2",761.5,"pairs_LH"
"Bezzia.sp2_Leptagrion.elongatum",0.746713852197381,25,"Leptagrion.elongatum","Bezzia.sp2",761.5,"pairs_LH"
"Bezzia.sp2_Leptagrion.tan",0.330293752163632,25,"Leptagrion.tan","Bezzia.sp2",761.5,"pairs_LH"
"Bezzia.sp2_Monopelopia",0.906966669135592,25,"Monopelopia","Bezzia.sp2",426,"pairs_LH"
"Bezzia.sp2_Tabanidae.spA",0.773069818374099,25,"Bezzia.sp2","Tabanidae.spA",530.4,"pairs_RH"
"Bezzia.sp2_Tabanidae.spB",0.614938121914784,25,"Bezzia.sp2","Tabanidae.spB",530.4,"pairs_RH"
"Bezzia.sp2_Tabanidae.spC",0.342316457502232,25,"Bezzia.sp2","Tabanidae.spC",530.4,"pairs_RH"
"Corethrella_Dolichopodidae",0.367322720570491,25,"Corethrella","Dolichopodidae",530.4,"pairs_RH"
"Corethrella_Empididae.sp1",0.562319154383673,25,"Corethrella","Empididae.sp1",530.4,"pairs_RH"
"Corethrella_Empididae.sp2",0.0733562535378299,25,"Corethrella","Empididae.sp2",530.4,"pairs_RH"
"Corethrella_Hirudinidae",0.314238003340222,25,"Corethrella","Hirudinidae",1122,"pairs_RH"
"Corethrella_Leptagrion.andromache",0.583866159280639,25,"Leptagrion.andromache","Corethrella",761.5,"pairs_LH"
"Corethrella_Leptagrion.elongatum",0.485915739660315,25,"Leptagrion.elongatum","Corethrella",761.5,"pairs_LH"
"Corethrella_Leptagrion.tan",0.612291825034624,25,"Leptagrion.tan","Corethrella",761.5,"pairs_LH"
"Corethrella_Monopelopia",0.769640955927608,25,"Monopelopia","Corethrella",440,"pairs_LH"
"Corethrella_Tabanidae.spA",0.657025345384624,25,"Corethrella","Tabanidae.spA",530.4,"pairs_RH"
"Corethrella_Tabanidae.spB",0.71604930239582,25,"Corethrella","Tabanidae.spB",530.4,"pairs_RH"
"Corethrella_Tabanidae.spC",0.578808039550636,25,"Corethrella","Tabanidae.spC",530.4,"pairs_RH"
"Dolichopodidae_Empididae.sp1",0,25,"Dolichopodidae","Empididae.sp1",172,"pairs_RH"
