"phylopred1","phylopred2","phylodistance","L_or_R","species_pair"
"Leptagrion.andromache","Leptagrion.tan",30,"pairs_RH","Leptagrion.andromache_Leptagrion.tan"
"Leptagrion.andromache","Leptagrion.elongatum",30,"pairs_RH","Leptagrion.andromache_Leptagrion.elongatum"
"Leptagrion.tan","Leptagrion.elongatum",30,"pairs_RH","Leptagrion.tan_Leptagrion.elongatum"
"Leptagrion.andromache","Monopelopia",761.5,"pairs_RH","Leptagrion.andromache_Monopelopia"
"Leptagrion.tan","Monopelopia",761.5,"pairs_RH","Leptagrion.tan_Monopelopia"
"Leptagrion.elongatum","Monopelopia",761.5,"pairs_RH","Leptagrion.elongatum_Monopelopia"
"Leptagrion.andromache","Bezzia.sp2",761.5,"pairs_RH","Leptagrion.andromache_Bezzia.sp2"
"Leptagrion.tan","Bezzia.sp2",761.5,"pairs_RH","Leptagrion.tan_Bezzia.sp2"
"Leptagrion.elongatum","Bezzia.sp2",761.5,"pairs_RH","Leptagrion.elongatum_Bezzia.sp2"
"Monopelopia","Bezzia.sp2",426,"pairs_RH","Monopelopia_Bezzia.sp2"
"Leptagrion.andromache","Bezzia.sp1",761.5,"pairs_RH","Leptagrion.andromache_Bezzia.sp1"
"Leptagrion.tan","Bezzia.sp1",761.5,"pairs_RH","Leptagrion.tan_Bezzia.sp1"
"Leptagrion.elongatum","Bezzia.sp1",761.5,"pairs_RH","Leptagrion.elongatum_Bezzia.sp1"
"Monopelopia","Bezzia.sp1",426,"pairs_RH","Monopelopia_Bezzia.sp1"
"Bezzia.sp2","Bezzia.sp1",30,"pairs_RH","Bezzia.sp2_Bezzia.sp1"
"Leptagrion.andromache","Corethrella",761.5,"pairs_RH","Leptagrion.andromache_Corethrella"
"Leptagrion.tan","Corethrella",761.5,"pairs_RH","Leptagrion.tan_Corethrella"
"Leptagrion.elongatum","Corethrella",761.5,"pairs_RH","Leptagrion.elongatum_Corethrella"
"Monopelopia","Corethrella",440,"pairs_RH","Monopelopia_Corethrella"
"Bezzia.sp2","Corethrella",440,"pairs_RH","Bezzia.sp2_Corethrella"
"Bezzia.sp1","Corethrella",440,"pairs_RH","Bezzia.sp1_Corethrella"
"Leptagrion.andromache","Dolichopodidae",761.5,"pairs_RH","Leptagrion.andromache_Dolichopodidae"
"Leptagrion.tan","Dolichopodidae",761.5,"pairs_RH","Leptagrion.tan_Dolichopodidae"
"Leptagrion.elongatum","Dolichopodidae",761.5,"pairs_RH","Leptagrion.elongatum_Dolichopodidae"
