"bromeliad","leaf.no","leaf.ID","length","width","final.length","final.width",
13,1,"13.1",10.2,2.4,,,
13,2,"13.2",6.1,3.5,,,
13,3,"13.3",12.4,3.2,,,
13,4,"13.4",27,3.8,,,
13,5,"13.5",19,3.8,,,
13,6,"13.6",28.6,3.6,,,
13,7,"13.7",36,3.5,,,
13,8,"13.8",36.7,3.5,,,
13,9,"13.9",34.2,3.5,,,
13,10,"13.10",35.2,3.9,,,
13,11,"13.11",33.7,3.2,,,
13,12,"13.12",31.8,4.2,,,
13,13,"13.13",32,3.5,,,
13,14,"13.14",28.2,3.8,,,
13,15,"13.15",22.5,3.8,24.8,3.1,
13,16,"13.16",25.2,3.9,26.3,2.8,
13,17,"13.17",18.5,3.6,22.2,3.4,
13,18,"13.18",9.3,2.4,13.1,2.8,
13,19,"13.19",12.2,2.9,19,2.8,
14,1,"14.1",10.2,3.2,,,
14,2,"14.2",13.2,3.7,,,
14,3,"14.3",17.4,4.1,,,
14,4,"14.4",19.9,4.2,,,
14,5,"14.5",27.2,4.2,,,
14,6,"14.6",23.8,4.8,,,
14,7,"14.7",25.5,4.8,,,
14,8,"14.8",32,4.1,,,
14,9,"14.9",31.8,5.8,,,
14,10,"14.10",31.6,4.1,,,
14,11,"14.11",29.2,4.8,,,
14,12,"14.12",32.3,3.8,,,
14,13,"14.13",29.8,3.2,31.8,3.1,
14,14,"14.14",25.8,3.4,32,2.6,
14,15,"14.15",32,3.6,,,
14,16,"14.16",23.4,3.5,28.5,2.6,
14,17,"14.17",19.2,3.4,25.7,2,
14,18,"14.18",12.6,2.9,21.6,2.2,
14,19,"14.19",5.9,1.8,,,
16,1,"16.1",11.2,3.6,,,
16,2,"16.2",20.5,3.2,,,
16,3,"16.3",12.6,4.4,,,
16,4,"16.4",14.8,4.5,,,
16,9,"16.9",19.2,4.8,,,
16,7,"16.7",25.2,4.9,,,
16,6,"16.6",15.6,5.2,,,
16,5,"16.5",15.4,4.8,,,
16,10,"16.10",36.6,4.3,,,
16,11,"16.11",35.1,4.2,,,
16,8,"16.8",22.4,4.5,,,
16,12,"16.12",30.5,4.2,,,
16,13,"16.13",36.1,4.1,,,
16,15,"16.15",37.2,4.1,,,
16,14,"16.14",37.2,3.2,,,
16,16,"16.16",30.6,4.1,,,
16,17,"16.17",34.1,4.8,,,
16,18,"16.18",28.6,4.8,,,
16,19,"16.19",25.7,4.1,27.8,3.1,
16,20,"16.20",23.6,3.5,25.5,3.3,
16,21,"16.21",28.7,3.2,21.6,2.8,
16,22,"16.22",22.5,3.6,,,
16,23,"16.23",15.2,3.3,19,2.3,
16,24,"16.24",11.6,2.7,17,2,
16,25,"16.25",8.6,2.3,,,
4,1,"4.1",15.2,3.3,,,
4,2,"4.2",17,4.3,,,
4,3,"4.3",18.4,4.6,,,
4,4,"4.4",22.6,5.3,,,
4,5,"4.5",25.3,5.5,,,
4,6,"4.6",12.2,4.1,,,
4,7,"4.7",39.3,5.4,,,
4,8,"4.8",36.2,4.8,,,
4,9,"4.9",4.1,2.2,,,
4,10,"4.10",26.2,3.8,,,
4,11,"4.11",24.2,4.2,,,
4,12,"4.12",26.6,4.6,,,
4,13,"4.13",32.3,4.8,,,
4,14,"4.14",34.6,4,36.2,3.2,
4,15,"4.15",34.5,4.1,39,2.8,
4,16,"4.16",30.4,3.6,35.6,3.2,
4,17,"4.17",23.6,3.8,29.2,3.1,
4,18,"4.18",16.2,2.8,23.2,3.1,
4,19,"4.19",9.9,2.6,,,
15,1,"15.1",7.8,2.6,,,
15,2,"15.2",9.9,3.5,,,
15,3,"15.3",12.2,4.1,,,
15,4,"15.4",12.2,4.1,,,
15,5,"15.5",23.9,4,,,
15,6,"15.6",20.5,4.4,,,
15,7,"15.7",16.8,4.5,,,
15,8,"15.8",31.5,3.1,,,
15,9,"15.9",28.3,3.4,,,
15,10,"15.10",30,3.8,,,
15,11,"15.11",31.1,3.5,,,
15,12,"15.12",30.2,4.3,,,
15,13,"15.13",26.9,4.2,"NA","NA",
15,14,"15.14",25.6,4.1,27.4,3.2,
15,15,"15.15",25.2,3.9,25.7,3.8,
15,16,"15.16",32.5,3.9,,,
15,17,"15.17",20.6,3.9,20.2,3.1,
15,18,"15.18",9.4,3.5,,,
15,19,"15.19",14.4,3.9,,,
15,20,"15.20",4.5,2.8,,,
15,21,"15.21",29,2.5,,,
11,1,"11.1",9.4,25,,,
11,2,"11.2",13.1,2.2,,,
11,3,"11.3",16.5,3.3,,,
11,4,"11.4",19.1,2.9,,,
11,5,"11.5",31.4,3.2,,,
11,6,"11.6",34.2,3.4,,,
11,7,"11.7",27.3,3.5,,,
11,8,"11.8",28.1,3.6,,,
11,9,"11.9",25,4.2,,,
11,10,"11.10",23.5,3.9,24.9,3.5,
11,11,"11.11",22,3.9,23,3.2,
11,12,"11.12",18.2,3.9,20.5,3.3,
11,13,"11.13",14.1,4,18,3.1,
11,14,"11.14",10,3.5,11.4,3.1,
11,15,"11.15",5.2,2.4,,,
5,1,"5.1",12.4,2.5,,,
5,2,"5.2",18.5,3.1,,,
5,3,"5.3",14.6,3.6,,,
5,4,"5.4",12.1,3.4,,,
5,5,"5.5",30.8,5.1,,,
5,6,"5.6",33.1,4.2,,,
5,7,"5.7",27.2,4.9,,,
5,8,"5.8",45.6,3.6,,,
5,9,"5.9",39.8,4.1,,,
5,10,"5.10",41.9,3.8,,,
5,11,"5.11",47.8,3.1,,,
5,12,"5.12",7.9,3.5,,,
