"","predator","predator.sp.","Predator.size","Prey","prey.size","Trial.Started","Trial.stopped","eaten","predator.sp.lept","body","tail","predator.names","eaten.numeric","Prey.species"
"1","","Leptagrion elongatum","11","1 Scirtes A","","28/04/11","30/04/11","1",NA,NA,NA,"Leptagrion.elongatum",1,"Scirtes A"
"2","","Leptagrion elongatum","13","1 Scirtes A","","28/04/11","30/04/11","1",NA,NA,NA,"Leptagrion.elongatum",1,"Scirtes A"
"3","","Leptagrion elongatum","16","1 Scirtes A","","28/04/11","30/04/11","1",NA,NA,NA,"Leptagrion.elongatum",1,"Scirtes A"
"4","","Leptagrion andromache","12","1 Scirtes A","","28/04/11","30/04/11","1",NA,NA,NA,"Leptagrion.andromache",1,"Scirtes A"
"5","","Leptagrion andromache","10","1 Scirtes A","","28/04/11","30/04/11","0",NA,NA,NA,"Leptagrion.andromache",0,"Scirtes A"
"6","","Leptagrion elongatum","11","1 polypedilum 2","","28/04/11","30/04/11","1",NA,NA,NA,"Leptagrion.elongatum",1,"Polypedilum 2"
"7","","Leptagrion elongatum","15","1 polypedilum 2","","28/04/11","30/04/11","1",NA,NA,NA,"Leptagrion.elongatum",1,"Polypedilum 2"
"8","","Leptagrion elongatum","16","1 polypedilum 2","","28/04/11","30/04/11","1",NA,NA,NA,"Leptagrion.elongatum",1,"Polypedilum 2"
"9","","Leptagrion elongatum","16","1 polypedilum 2","","28/04/11","30/04/11","1",NA,NA,NA,"Leptagrion.elongatum",1,"Polypedilum 2"
"10","","Leptagrion andromache","14","1 psychodid ","","28/04/11","30/04/11","1",NA,NA,NA,"Leptagrion.andromache",1,"Psychodid"
"11","","Leptagrion andromache","9.5","1 psychodid ","","28/04/11","30/04/11","0",NA,NA,NA,"Leptagrion.andromache",0,"Psychodid"
"12","","Leptagrion andromache","11","1 psychodid ","","28/04/11","30/04/11","1",NA,NA,NA,"Leptagrion.andromache",1,"Psychodid"
"13","","Leptagrion andromache","8","1 psychodid ","","28/04/11","30/04/11","1",NA,NA,NA,"Leptagrion.andromache",1,"Psychodid"
"14","","Leptagrion andromache","13","1 psychodid ","","28/04/11","30/04/11","1",NA,NA,NA,"Leptagrion.andromache",1,"Psychodid"
"15","","Leptagrion andromache","11","1 Tipulid","","28/04/11","30/04/11","1",NA,NA,NA,"Leptagrion.andromache",1,"Tipulid"
"16","","Leptagrion andromache","11","1 Tipulid","","28/04/11","30/04/11","1",NA,NA,NA,"Leptagrion.andromache",1,"Tipulid"
"17","","Leptagrion andromache","11","1 Tipulid","","28/04/11","30/04/11","1",NA,NA,NA,"Leptagrion.andromache",1,"Tipulid"
"18","","Leptagrion andromache","13","1 Tipulid","","28/04/11","30/04/11","1",NA,NA,NA,"Leptagrion.andromache",1,"Tipulid"
"19","","Leptagrion andromache","14","1 Tipulid","","28/04/11","30/04/11","1",NA,NA,NA,"Leptagrion.andromache",1,"Tipulid"
"20","","Leptagrion andromache","16","1 Chironomus detriticula","","28/04/11","30/04/11","1",NA,NA,NA,"Leptagrion.andromache",1,"Chironomus detriticula"
"21","","Leptagrion andromache","9","1 Polypedilum 1","","28/04/11","30/04/11","1",NA,NA,NA,"Leptagrion.andromache",1,"Polypedilum 1"
"22","","Leptagrion andromache","10","1 Polypedilum 1","","28/04/11","30/04/11","1",NA,NA,NA,"Leptagrion.andromache",1,"Polypedilum 1"
"23","","Leptagrion andromache","13","1 Polypedilum 2","","28/04/11","30/04/11","1",NA,NA,NA,"Leptagrion.andromache",1,"Polypedilum 2"
"24","","Green Tabanid","29","1 psychodid ","","28/04/11","30/04/11","1",NA,NA,NA,"Tabanidae.spA",1,"Psychodid"
"25","","Green Tabanid","16","1 psychodid ","","28/04/11","30/04/11","0",NA,NA,NA,"Tabanidae.spA",0,"Psychodid"
"26","","Leptagrion andromache","11","1 Culex","","28/04/11","30/04/11","1",NA,NA,NA,"Leptagrion.andromache",1,"Culex"
"27","","Leptagrion andromache","14","1 Culex","","28/04/11","30/04/11","1",NA,NA,NA,"Leptagrion.andromache",1,"Culex"
"28","","Leptagrion elongatum","17","Leptagrion andromache <5mm","","28/04/11","30/04/11","1",NA,NA,NA,"Leptagrion.elongatum",1,"Leptagrion andromache <5mm"
"29","","Leptagrion elongatum","18","Leptagrion andromache <5mm","","28/04/11","30/04/11","1",NA,NA,NA,"Leptagrion.elongatum",1,"Leptagrion andromache <5mm"
"30","","Leptagrion elongatum","16","Leptagrion andromache <5mm","","28/04/11","30/04/11","1",NA,NA,NA,"Leptagrion.elongatum",1,"Leptagrion andromache <5mm"
"31","","Leptagrion elongatum","17","Leptagrion andromache <5mm","","28/04/11","30/04/11","1",NA,NA,NA,"Leptagrion.elongatum",1,"Leptagrion andromache <5mm"
"32","","Leptagrion elongatum","17","Leptagrion andromache <5mm","","28/04/11","30/04/11","1",NA,NA,NA,"Leptagrion.elongatum",1,"Leptagrion andromache <5mm"
"33","","Leptagrion elongatum","11","1 Scirtes A","","28/04/11","30/04/11","1",NA,NA,NA,"Leptagrion.elongatum",1,"Scirtes A"
"34","","1 Leech ","18","1 Culex","","28/04/11","30/04/11","0",NA,NA,NA,"Hirudinidae",0,"Culex"
"35","","1 Leech ","17","1 Culex","","28/04/11","30/04/11","0",NA,NA,NA,"Hirudinidae",0,"Culex"
"36","","1 Leech ","12","1 Culex","","28/04/11","30/04/11","0",NA,NA,NA,"Hirudinidae",0,"Culex"
"37","","1 Leech ","15","1 Culex","","28/04/11","30/04/11","0",NA,NA,NA,"Hirudinidae",0,"Culex"
"38","","1 Leech ","16","1 Culex","","28/04/11","30/04/11","1",NA,NA,NA,"Hirudinidae",1,"Culex"
"39","","red tabanid","13","tipulid","","29/04/11","01/05/11","1",NA,NA,NA,"Tabanidae.spB",1,"Tipulid"
"40","","green Tabanid","24","tipulid","","29/04/11","01/05/11","1",NA,NA,NA,"Tabanidae.spA",1,"Tipulid"
