"predator","predator sp.","Predator size","Prey","prey size","Trial Started","Trial stopped","Eaten or not #1 = eaten","Comments"
"LA",,,"1 Tipulid","Large",21/03/11,23/03/11,1,
"LB",,,"1 Tipulid","small-medium",21/03/11,23/03/11,1,
"LC",,,"1 Tipulid","medium",21/03/11,23/03/11,1,
"LD",,,"1 Tipulid","small-medium",21/03/11,23/03/11,1,
"LE",,,"1 Tipulid","medium",21/03/11,23/03/11,1,
"LF",,,"1 Tipulid","Large",21/03/11,23/03/11,1,
"LG",,,"1 Tipulid","Medium",21/03/11,23/03/11,1,
"LH",,,"1 Tipulid","small-medium",21/03/11,23/03/11,1,
"LA",,,"5 Ostracoda",,23/03/11,25/03/11,0,
"LB",,,"5 Ostracoda",,23/03/11,25/03/11,1,"3 found"
"LC",,,"5 Ostracoda",,23/03/11,25/03/11,1,"4 found"
"LD",,,"5 Ostracoda",,23/03/11,25/03/11,1,"4 found"
"LE",,,"5 Ostracoda",,23/03/11,25/03/11,1,"4 found"
"LF",,,"5 Ostracoda",,23/03/11,25/03/11,1,"1 found"
"LG",,,"5 Ostracoda",,23/03/11,25/03/11,0,
"LH",,,"5 Ostracoda",,23/03/11,25/03/11,0,
"LA",,,"1 Leech","small",25/03/11,27/03/11,0,
"LB",,,"1 Leech","small",25/03/11,27/03/11,0,
"LC",,,"1 Leech","small",25/03/11,27/03/11,0,
"LD",,,"1 Leech","small",25/03/11,27/03/11,0,
"LE",,,"1 Leech","small",25/03/11,27/03/11,0,
"LF",,,"1 Leech","medium",25/03/11,27/03/11,0,
"LG",,,"1 Leech","small",25/03/11,27/03/11,0,"Lept. Dead"
"LH",,,"1 Leech","small",25/03/11,27/03/11,0,
"LA",,,"1 Polypedilum 1",,28/03/11,30/03/11,1,
"LB",,,"1 Polypedilum 1",,28/03/11,30/03/11,1,
"LC",,,"1 Polypedilum 1",,28/03/11,30/03/11,1,
"LD",,,"1 Polypedilum 1",,28/03/11,30/03/11,1,
"LE",,,"1 Polypedilum 1",,28/03/11,30/03/11,1,
"LF",,,"1 Polypedilum 1",,28/03/11,30/03/11,1,
"LH",,,"1 Polypedilum 1",,28/03/11,30/03/11,1,
"LA",,,"1 Culex",,30/03/11,03/04/11,1,
"LB",,,"1 Culex",,30/03/11,03/04/11,1,
"LC",,,"1 Culex",,30/03/11,03/04/11,0,
"LD",,,"1 Culex",,30/03/11,03/04/11,1,
"LE",,,"1 Culex",,30/03/11,03/04/11,1,
"LF",,,"1 Culex",,30/03/11,03/04/11,0,
"LH",,,"1 Culex",,30/03/11,03/04/11,0,
"LI",,,"1 Scirtes A","small",21/03/11,23/03/11,1,
"LJ",,,"1 Scirtes A","small",21/03/11,23/03/11,1,
"LK",,,"1 Scirtes A","small",21/03/11,23/03/11,1,
"LL",,,"1 Scirtes A","small",21/03/11,23/03/11,0,
"LM",,,"1 Scirtes A","small",21/03/11,23/03/11,1,
"LN",,,"1 Scirtes A","small",21/03/11,23/03/11,1,
"LO",,,"1 Scirtes A","small",21/03/11,23/03/11,1,
"LP",,,"1 Scirtes A","small",21/03/11,23/03/11,0,
"LI",,,"1 Trichoptera",,23/03/11,25/03/11,0,
"LJ",,,"1 Trichoptera",,23/03/11,25/03/11,0,
"LK",,,"1 Trichoptera",,23/03/11,25/03/11,0,
"LL",,,"1 Trichoptera",,23/03/11,25/03/11,0,
"LM",,,"1 Trichoptera",,23/03/11,25/03/11,0,
"LN",,,"1 Trichoptera",,23/03/11,25/03/11,1,
"LO",,,"1 Trichoptera",,23/03/11,25/03/11,0,
"LP",,,"1 Trichoptera",,23/03/11,25/03/11,0,
"LI",,,"1 Monopelopia",,25/03/11,27/03/11,1,
"LJ",,,"1 Monopelopia",,25/03/11,27/03/11,0,
"LK",,,"1 Monopelopia",,25/03/11,27/03/11,1,
"LL",,,"1 Monopelopia",,25/03/11,27/03/11,,"Lept dead"
"LM",,,"1 Monopelopia",,25/03/11,27/03/11,1,
"LN",,,"1 Monopelopia",,25/03/11,27/03/11,1,
"LO",,,"1 Monopelopia",,25/03/11,27/03/11,1,
"LP",,,"1 Monopelopia",,25/03/11,27/03/11,1,
"LI",,,"1 Scirtes B",,28/03/11,30/03/11,0,
"LJ",,,"1 Scirtes B",,28/03/11,30/03/11,1,
"LK",,,"1 Scirtes B",,28/03/11,30/03/11,"dead",
"LM",,,"1 Scirtes B",,28/03/11,30/03/11,1,
"LN",,,"1 Scirtes B",,28/03/11,30/03/11,1,
"LO",,,"1 Scirtes B",,28/03/11,30/03/11,"dead",
"LP",,,"1 Scirtes B",,28/03/11,30/03/11,1,
"LI",,,"1 Chironomus detriticula",,30/03/11,03/04/11,1,
"LJ",,,"1 Chironomus detriticula",,30/03/11,03/04/11,1,
"LK",,,"1 Chironomus detriticula",,30/03/11,03/04/11,1,
"LM",,,"1 Chironomus detriticula",,30/03/11,03/04/11,1,
"LN",,,"1 Chironomus detriticula",,30/03/11,03/04/11,1,
"LO",,,"1 Chironomus detriticula",,30/03/11,03/04/11,1,
"LP",,,"1 Chironomus detriticula",,30/03/11,03/04/11,1,
"L38",,"(s)","1 Tipulid ","small-medium",21/03/11,23/03/11,1,
"L63",,"(s)","1 Tipulid ","small-medium",21/03/11,23/03/11,1,
"L67",,"(s)","1 Tipulid ","large",21/03/11,23/03/11,0,
"L129",,"(s)","1 Tipulid ","large",21/03/11,23/03/11,0,
"L199",,"(m)","1 Tipulid ","medium",21/03/11,23/03/11,1,
"L201",,"(l)","1 Tipulid ","large",21/03/11,23/03/11,1,
"L38",,,"1 Trichoptera",,23/03/11,25/03/11,0,
"L63",,,"1 Trichoptera",,23/03/11,25/03/11,0,
"L67",,,"1 Trichoptera",,23/03/11,25/03/11,0,
"L129",,,"1 Trichoptera",,23/03/11,25/03/11,0,
"L199",,,"1 Trichoptera",,23/03/11,25/03/11,0,
"L201",,,"1 Trichoptera",,23/03/11,25/03/11,0,
"L38",,,"1 Monopelopia",,25/03/11,27/03/11,1,
"L63",,,"1 Monopelopia",,25/03/11,27/03/11,1,
"L67",,,"1 Monopelopia",,25/03/11,27/03/11,1,
"L129",,,"1 Monopelopia",,25/03/11,27/03/11,1,
"L199",,,"1 Monopelopia",,25/03/11,27/03/11,1,
"L201",,,"1 Monopelopia",,25/03/11,27/03/11,1,
"L38",,,"1 Polypedilum 1",,28/03/11,30/03/11,1,
