"Bromeliad #","Leaf #","leaf.ID","aff. Dasyhelea","Chironomus aff. detriticula","Culex sp.","Culicidae sp., dead and unidentifiable","Dasyhelea sp.","Monopelopia","Orthocladiinae sp.","Phoniomyia sp.","Polypedilum “round head”","Polypedilum 1","Polypedilum 1, pupa","Polypedilum 2","Polypedilum unk, pupa","Psychodid sp. C","Psychodid little","Psychodid white","Tanytarsus","Tipulid","unidentified beetle (“Beetle LxL5”)","unidentified terrestrial larva","Wyeomyia sp."
1,5,"lxl1.5",0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0
1,1,"lxl1.1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1,2,"lxl1.2",0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
1,6,"lxl1.6",0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,4
1,3,"lxl1.3",0,0,0,0,0,0,0,0,0,0,0,12,0,0,11,0,0,0,0,0,0
1,4,"lxl1.4",0,0,1,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,0,0
1,8,"lxl1.8",0,1,0,0,0,0,0,0,0,0,0,3,0,0,1,2,0,0,0,0,0
1,7,"lxl1.7",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,9,"lxl1.9",0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0
1,14,"lxl1.14",0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0
1,11,"lxl1.11",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
1,13,"lxl1.13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,12,"lxl1.12",0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0
1,"top","lxl1.top",0,1,0,0,0,0,0,0,0,3,0,19,0,0,4,0,0,0,0,0,0
2,5,"lxl2.5",0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0
2,10,"lxl2.10",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,4,"lxl2.4",0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
2,14,"lxl2.14",0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2,6,"lxl2.6",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,8,"lxl2.8",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2,2,"lxl2.2",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2,7,"lxl2.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,18,"lxl2.18",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
4,5,"lxl4.5",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4,7,"lxl4.7",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
4,8,"lxl4.8",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
4,9,"lxl4.9",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,10,"lxl4.10",0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
4,11,"lxl4.11",0,2,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0
4,12,"lxl4.12",0,6,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0
4,13,"lxl4.13",0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0
4,14,"lxl4.14",0,0,0,0,0,0,0,0,0,7,2,2,2,0,0,0,0,0,0,0,0
4,15,"lxl4.15",0,11,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0
4,16,"lxl4.16",0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0
4,17,"lxl4.17",0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
4,18,"lxl4.18",0,0,0,0,0,0,0,0,1,14,0,1,0,0,0,0,0,0,0,0,0
4,19,"lxl4.19",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,20,"lxl4.20",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
4,"top","lxl4.top",0,0,0,0,0,0,0,0,0,8,0,20,0,0,0,0,0,0,0,0,0
5,4,"lxl5.4",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,8,"lxl5.8",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
5,9,"lxl5.9",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
5,11,"lxl5.11",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
5,12,"lxl5.12",0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0
5,14,"lxl5.14",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
5,15,"lxl5.15",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
