"Bromeliad","leaf","leaf.ID","position","length","vol","angle","height","spider"
"lxl1",5,"lxl1.5",1,6.8,2.0,,,
"lxl1",1,"lxl1.1",2,9.5,"NA",,,
"lxl1",2,"lxl1.2",3,18.8,13.0,,,
"lxl1",6,"lxl1.6",4,14.1,3.0,,,
"lxl1",3,"lxl1.3",5,18.8,13.0,,,
"lxl1",4,"lxl1.4",6,21.1,17.0,,,
"lxl1",8,"lxl1.8",7,29.2,9.0,,,
"lxl1",7,"lxl1.7",8,32.4,10.0,,,
"lxl1",9,"lxl1.9",9,39.5,3.0,,,
"lxl1",14,"lxl1.14",10,43.2,22.0,,,
"lxl1",10,"lxl1.10",11,42.1,0.0,,,
"lxl1",11,"lxl1.11",12,45,"NA",,,
"lxl1",13,"lxl1.13",13,42,"NA",,,
"lxl1",12,"lxl1.12",14,37,"NA",,,
"lxl1","top","lxl1.top","top","NA","NA","central",,
"lxl2",1,"lxl2.1",3,10,"NA",6,7,1
"lxl2",21,"lxl2.21",1,9,"NA",6,4,0
"lxl2",22,"lxl2.22",2,10.5,"NA",18,5,1
"lxl2",3,"lxl2.3",4,15.4,"NA",3,8.5,0
"lxl2",9,"lxl2.9",5,12.5,"NA",6,10.6,0
"lxl2",2,"lxl2.2",6,19.5,"NA",1,10.3,0
"lxl2",7,"lxl2.7",7,28.3,13.0,4,12.1,1
"lxl2",5,"lxl2.5",8,31.1,12.0,7,12,0
"lxl2",6,"lxl2.6",9,37,16.0,2,13,1
"lxl2",8,"lxl2.8",10,40,20.0,6,13.5,1
"lxl2",4,"lxl2.4",11,41.8,30.0,1,14,0
"lxl2",18,"lxl2.18",12,42,19.0,3,15.1,1
"lxl2",14,"lxl2.14",13,36.2,15.0,7,16.5,0
"lxl2",23,"lxl2.23",14,39,10.0,2,16,0
"lxl2",12,"lxl2.12",15,38.5,"NA",5,14.2,0
"lxl2",11,"lxl2.11",16,36.5,20.0,3,16.2,1
"lxl2",16,"lxl2.16",18,32.5,,6,17,0
"lxl2",15,"lxl2.15",19,28.2,,8,15.5,0
