"Bromeliad #","Leaf #","leaf.ID","aff. Dasyhelea","Chironomus aff. detriticula","Culex sp.","Culicidae sp., dead and unidentifiable","Dasyhelea sp.","Monopelopia","Orthocladiinae sp.","Phoniomyia sp.","Polypedilum “round head”","Polypedilum 1","Polypedilum 1, pupa","Polypedilum 2","Polypedilum unk, pupa","Psychodid sp. C","Psychodid little","Psychodid white","Tanytarsus","Tipulid","unidentified beetle (“Beetle LxL5”)","unidentified terrestrial larva","Wyeomyia sp.","#"
1,5,"lxl1.5","chiro","chiro","culicid","culicid","chiro","chiro","chiro","culicid","chiro","chiro","chiro","chiro","chiro","psycho","psycho","psycho","chiro","chiro","unused","unused","unused",
1,1,"lxl1.1","chiro","chiro","culicid","culicid","chiro","chiro","chiro","culicid","chiro","chiro","chiro","chiro","chiro","psycho","psycho","psycho","chiro","chiro","unused","unused","unused",
1,2,"lxl1.2","chiro","chiro","culicid","culicid","chiro","chiro","chiro","culicid","chiro","chiro","chiro","chiro","chiro","psycho","psycho","psycho","chiro","chiro","unused","unused","unused",
1,6,"lxl1.6","chiro","chiro","culicid","culicid","chiro","chiro","chiro","culicid","chiro","chiro","chiro","chiro","chiro","psycho","psycho","psycho","chiro","chiro","unused","unused","unused",
1,3,"lxl1.3","chiro","chiro","culicid","culicid","chiro","chiro","chiro","culicid","chiro","chiro","chiro","chiro","chiro","psycho","psycho","psycho","chiro","chiro","unused","unused","unused","#two rows added together."
1,4,"lxl1.4","chiro","chiro","culicid","culicid","chiro","chiro","chiro","culicid","chiro","chiro","chiro","chiro","chiro","psycho","psycho","psycho","chiro","chiro","unused","unused","unused",
1,8,"lxl1.8","chiro","chiro","culicid","culicid","chiro","chiro","chiro","culicid","chiro","chiro","chiro","chiro","chiro","psycho","psycho","psycho","chiro","chiro","unused","unused","unused",
1,7,"lxl1.7","chiro","chiro","culicid","culicid","chiro","chiro","chiro","culicid","chiro","chiro","chiro","chiro","chiro","psycho","psycho","psycho","chiro","chiro","unused","unused","unused",
1,9,"lxl1.9","chiro","chiro","culicid","culicid","chiro","chiro","chiro","culicid","chiro","chiro","chiro","chiro","chiro","psycho","psycho","psycho","chiro","chiro","unused","unused","unused",
1,14,"lxl1.14","chiro","chiro","culicid","culicid","chiro","chiro","chiro","culicid","chiro","chiro","chiro","chiro","chiro","psycho","psycho","psycho","chiro","chiro","unused","unused","unused",
1,11,"lxl1.11","chiro","chiro","culicid","culicid","chiro","chiro","chiro","culicid","chiro","chiro","chiro","chiro","chiro","psycho","psycho","psycho","chiro","chiro","unused","unused","unused",
1,13,"lxl1.13","chiro","chiro","culicid","culicid","chiro","chiro","chiro","culicid","chiro","chiro","chiro","chiro","chiro","psycho","psycho","psycho","chiro","chiro","unused","unused","unused",
1,12,"lxl1.12","chiro","chiro","culicid","culicid","chiro","chiro","chiro","culicid","chiro","chiro","chiro","chiro","chiro","psycho","psycho","psycho","chiro","chiro","unused","unused","unused",
1,"top","lxl1.top","chiro","chiro","culicid","culicid","chiro","chiro","chiro","culicid","chiro","chiro","chiro","chiro","chiro","psycho","psycho","psycho","chiro","chiro","unused","unused","unused",
2,5,"lxl2.5","chiro","chiro","unused","chiro","chiro","chiro","chiro","unused","chiro","chiro","chiro","chiro","chiro","unused","unused","unused","chiro","chiro","unused","unused","unused",
2,10,"lxl2.10","chiro","chiro","unused","chiro","chiro","chiro","chiro","unused","chiro","chiro","chiro","chiro","chiro","unused","unused","unused","chiro","chiro","unused","unused","unused",
2,4,"lxl2.4","chiro","chiro","unused","chiro","chiro","chiro","chiro","unused","chiro","chiro","chiro","chiro","chiro","unused","unused","unused","chiro","chiro","unused","unused","unused",
2,14,"lxl2.14","chiro","chiro","unused","chiro","chiro","chiro","chiro","unused","chiro","chiro","chiro","chiro","chiro","unused","unused","unused","chiro","chiro","unused","unused","unused",
2,6,"lxl2.6","chiro","chiro","unused","chiro","chiro","chiro","chiro","unused","chiro","chiro","chiro","chiro","chiro","unused","unused","unused","chiro","chiro","unused","unused","unused",
2,8,"lxl2.8","chiro","chiro","unused","chiro","chiro","chiro","chiro","unused","chiro","chiro","chiro","chiro","chiro","unused","unused","unused","chiro","chiro","unused","unused","unused",
2,2,"lxl2.2","chiro","chiro","unused","chiro","chiro","chiro","chiro","unused","chiro","chiro","chiro","chiro","chiro","unused","unused","unused","chiro","chiro","unused","unused","unused",
2,7,"lxl2.7","chiro","chiro","unused","chiro","chiro","chiro","chiro","unused","chiro","chiro","chiro","chiro","chiro","unused","unused","unused","chiro","chiro","unused","unused","unused",
2,18,"lxl2.18","chiro","chiro","unused","chiro","chiro","chiro","chiro","unused","chiro","chiro","chiro","chiro","chiro","unused","unused","unused","chiro","chiro","unused","unused","unused",
4,5,"lxl4.5","chiro","chiro","unused","unused","chiro","chiro","unused","chiro","chiro","chiro","chiro","chiro","unused","unused","unused","unused","unused","unused","unused","unused","unused",
4,7,"lxl4.7","chiro","chiro","unused","unused","chiro","chiro","unused","chiro","chiro","chiro","chiro","chiro","unused","unused","unused","unused","unused","unused","unused","unused","unused",
4,8,"lxl4.8","chiro","chiro","unused","unused","chiro","chiro","unused","chiro","chiro","chiro","chiro","chiro","unused","unused","unused","unused","unused","unused","unused","unused","unused",
4,9,"lxl4.9","chiro","chiro","unused","unused","chiro","chiro","unused","chiro","chiro","chiro","chiro","chiro","unused","unused","unused","unused","unused","unused","unused","unused","unused",
4,10,"lxl4.10","chiro","chiro","unused","unused","chiro","chiro","unused","chiro","chiro","chiro","chiro","chiro","unused","unused","unused","unused","unused","unused","unused","unused","unused",
4,11,"lxl4.11","chiro","chiro","unused","unused","chiro","chiro","unused","chiro","chiro","chiro","chiro","chiro","unused","unused","unused","unused","unused","unused","unused","unused","unused",
4,12,"lxl4.12","chiro","chiro","unused","unused","chiro","chiro","unused","chiro","chiro","chiro","chiro","chiro","unused","unused","unused","unused","unused","unused","unused","unused","unused",
4,13,"lxl4.13","chiro","chiro","unused","unused","chiro","chiro","unused","chiro","chiro","chiro","chiro","chiro","unused","unused","unused","unused","unused","unused","unused","unused","unused",
4,14,"lxl4.14","chiro","chiro","unused","unused","chiro","chiro","unused","chiro","chiro","chiro","chiro","chiro","unused","unused","unused","unused","unused","unused","unused","unused","unused",
4,15,"lxl4.15","chiro","chiro","unused","unused","chiro","chiro","unused","chiro","chiro","chiro","chiro","chiro","unused","unused","unused","unused","unused","unused","unused","unused","unused",
4,16,"lxl4.16","chiro","chiro","unused","unused","chiro","chiro","unused","chiro","chiro","chiro","chiro","chiro","unused","unused","unused","unused","unused","unused","unused","unused","unused",
4,17,"lxl4.17","chiro","chiro","unused","unused","chiro","chiro","unused","chiro","chiro","chiro","chiro","chiro","unused","unused","unused","unused","unused","unused","unused","unused","unused",
4,18,"lxl4.18","chiro","chiro","unused","unused","chiro","chiro","unused","chiro","chiro","chiro","chiro","chiro","unused","unused","unused","unused","unused","unused","unused","unused","unused",
4,19,"lxl4.19","chiro","chiro","unused","unused","chiro","chiro","unused","chiro","chiro","chiro","chiro","chiro","unused","unused","unused","unused","unused","unused","unused","unused","unused",
4,20,"lxl4.20","chiro","chiro","unused","unused","chiro","chiro","unused","chiro","chiro","chiro","chiro","chiro","unused","unused","unused","unused","unused","unused","unused","unused","unused",
4,"top","lxl4.top","chiro","chiro","unused","unused","chiro","chiro","unused","chiro","chiro","chiro","chiro","chiro","unused","unused","unused","unused","unused","unused","unused","unused","unused",
5,4,"lxl5.4","chiro","chiro","unused","unused","chiro","chiro","chiro","unused","chiro","chiro","chiro","chiro","chiro","unused","unused","unused","unused","unused","unused","unused","unused",
5,8,"lxl5.8","chiro","chiro","unused","unused","chiro","chiro","chiro","unused","chiro","chiro","chiro","chiro","chiro","unused","unused","unused","unused","unused","unused","unused","unused",
5,9,"lxl5.9","chiro","chiro","unused","unused","chiro","chiro","chiro","unused","chiro","chiro","chiro","chiro","chiro","unused","unused","unused","unused","unused","unused","unused","unused",
5,11,"lxl5.11","chiro","chiro","unused","unused","chiro","chiro","chiro","unused","chiro","chiro","chiro","chiro","chiro","unused","unused","unused","unused","unused","unused","unused","unused",
5,12,"lxl5.12","chiro","chiro","unused","unused","chiro","chiro","chiro","unused","chiro","chiro","chiro","chiro","chiro","unused","unused","unused","unused","unused","unused","unused","unused",
5,14,"lxl5.14","chiro","chiro","unused","unused","chiro","chiro","chiro","unused","chiro","chiro","chiro","chiro","chiro","unused","unused","unused","unused","unused","unused","unused","unused",
5,15,"lxl5.15","chiro","chiro","unused","unused","chiro","chiro","chiro","unused","chiro","chiro","chiro","chiro","chiro","unused","unused","unused","unused","unused","unused","unused","unused",
5,"top","lxl5.top","chiro","chiro","unused","unused","chiro","chiro","chiro","unused","chiro","chiro","chiro","chiro","chiro","unused","unused","unused","unused","unused","unused","unused","unused",
6,2,"lxl6.2","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc",
6,3,"lxl6.3","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc",
6,4,"lxl6.4","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc",
6,5,"lxl6.5","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc",
6,6,"lxl6.6","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc",
6,7,"lxl6.7","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc",
6,8,"lxl6.8","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc",
6,9,"lxl6.9","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc",
6,10,"lxl6.10","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc",
6,11,"lxl6.11","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc",
6,12,"lxl6.12","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc",
6,13,"lxl6.13","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc",
6,14,"lxl6.14","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc",
6,16,"lxl6.16","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc",
6,17,"lxl6.17","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc",
6,18,"lxl6.18","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc",
6,"dead","lxl6.dead","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc",
6,"top","lxl6.top","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc","misc",
7,1,"lxl7.1","misc","misc","misc","misc","misc","misc","misc","misc","misc","chiro","misc","chiro","misc","misc","misc","misc","chiro","misc","misc","misc","misc",
7,2,"lxl7.2","misc","misc","misc","misc","misc","misc","misc","misc","misc","chiro","misc","chiro","misc","misc","misc","misc","chiro","misc","misc","misc","misc",
7,3,"lxl7.3","misc","misc","misc","misc","misc","misc","misc","misc","misc","chiro","misc","chiro","misc","misc","misc","misc","chiro","misc","misc","misc","misc",
7,4,"lxl7.4","misc","misc","misc","misc","misc","misc","misc","misc","misc","chiro","misc","chiro","misc","misc","misc","misc","chiro","misc","misc","misc","misc",
7,5,"lxl7.5","misc","misc","misc","misc","misc","misc","misc","misc","misc","chiro","misc","chiro","misc","misc","misc","misc","chiro","misc","misc","misc","misc",
7,6,"lxl7.6","misc","misc","misc","misc","misc","misc","misc","misc","misc","chiro","misc","chiro","misc","misc","misc","misc","chiro","misc","misc","misc","misc",
7,7,"lxl7.7","misc","misc","misc","misc","misc","misc","misc","misc","misc","chiro","misc","chiro","misc","misc","misc","misc","chiro","misc","misc","misc","misc",
7,8,"lxl7.8","misc","misc","misc","misc","misc","misc","misc","misc","misc","chiro","misc","chiro","misc","misc","misc","misc","chiro","misc","misc","misc","misc",
7,9,"lxl7.9","misc","misc","misc","misc","misc","misc","misc","misc","misc","chiro","misc","chiro","misc","misc","misc","misc","chiro","misc","misc","misc","misc",
7,10,"lxl7.10","misc","misc","misc","misc","misc","misc","misc","misc","misc","chiro","misc","chiro","misc","misc","misc","misc","chiro","misc","misc","misc","misc",
7,11,"lxl7.11","misc","misc","misc","misc","misc","misc","misc","misc","misc","chiro","misc","chiro","misc","misc","misc","misc","chiro","misc","misc","misc","misc",
7,12,"lxl7.12","misc","misc","misc","misc","misc","misc","misc","misc","misc","chiro","misc","chiro","misc","misc","misc","misc","chiro","misc","misc","misc","misc",
7,13,"lxl7.13","misc","misc","misc","misc","misc","misc","misc","misc","misc","chiro","misc","chiro","misc","misc","misc","misc","chiro","misc","misc","misc","misc",
7,14,"lxl7.14","misc","misc","misc","misc","misc","misc","misc","misc","misc","chiro","misc","chiro","misc","misc","misc","misc","chiro","misc","misc","misc","misc",
7,15,"lxl7.15","misc","misc","misc","misc","misc","misc","misc","misc","misc","chiro","misc","chiro","misc","misc","misc","misc","chiro","misc","misc","misc","misc",
7,16,"lxl7.16","misc","misc","misc","misc","misc","misc","misc","misc","misc","chiro","misc","chiro","misc","misc","misc","misc","chiro","misc","misc","misc","misc",
7,17,"lxl7.17","misc","misc","misc","misc","misc","misc","misc","misc","misc","chiro","misc","chiro","misc","misc","misc","misc","chiro","misc","misc","misc","misc",
7,"top","lxl7.top","misc","misc","misc","misc","misc","misc","misc","misc","misc","chiro","misc","chiro","misc","misc","misc","misc","chiro","misc","misc","misc","misc",
