"pt name","e","n","east","north"
3,729,493,205729,7224493
4,599,450,205599,7224450
5,445,187,205445,7224187
6,58,38,205058,7224038
"brlab",988,966,204988,7223966
7,976,866,204976,7223866
8,991,853,204991,7223853
9,994,835,204994,7223835
10,985,807,204985,7223807
11,989,771,204989,7223771
12,979,728,204979,7223728
13,971,703,204971,7223703
14,964,688,204964,7223688
15,963,683,204963,7223683
46,953,654,204953,7223654
17,946,631,204946,7223631
18,939,601,204939,7223601
19,917,554,204917,7223554
20,913,523,204913,7223523
21,893,478,204893,7223478
27,791,535,204791,7223535
22,882,437,204882,7223437
23,878,423,204878,7223423
24,867,358,204867,7223358
25,854,306,204854,7223306
26,833,245,204833,7223245
28,814,157,204814,7223157
30,535,401,204535,7223401
29,820,132,204820,7223132
31,,,202952,7222284
32,,,204931,7222529
33,,,205417,7222331
34,,,204893,7223549
35,,,204886,7223522
36,,,204876,7223493
37,,,204880,7223457
38,,,204869,7223394
39,,,204862,7223361
40,,,204859,7223329
41,,,204852,7223276
42,,,204823,7223233
43,,,204814,7223190
44,,,204804,7223154
45,,,204896,7223595
46,,,204884,7223618
47,,,204800,7223551
48,,,204784,7223541
49,,,204779,7223470
50,,,,
