"date","eu","species","number"
05/03/11,5,"midge",2
05/03/11,16,"midge",1
06/03/11,9,"psychodid",1
06/03/11,12,"midge",1
06/03/11,37,"culicid",1
06/03/11,35,"scirtes",1
09/03/11,6,"tipulid",1
10/03/11,17,"midge",1
10/03/11,18,"midge",1
10/03/11,22,"culicid",1
10/03/11,24,"culicid",3
10/03/11,34,"culicid",1
10/03/11,35,"midge",1
10/03/11,37,"culicid",2
11/03/11,18,"psychodid",1
11/03/11,36,"midge",1
11/03/11,39,"culicid",1
13/03/11,12,"midge",1
13/03/11,18,"tipulid",1
14/03/11,21,"culicid",1
16/03/11,24,"psychodid",1
16/03/11,33,"culicid",1
16/03/11,4,"psychodid",1
18/03/11,16,"midge",1
18/03/11,9,"midge",1
18/03/11,29,"scirtes",1
19/03/11,21,"culicid",1
19/03/11,27,"psychodid",1
20/03/11,6,"tipulid",1
21/03/11,9,"scirtes",1
21/03/11,27,"psychodid",1
22/03/11,21,"midge",2
22/03/11,26,"scirtes",1
22/03/11,31,"midge",1
22/03/11,27,"midge",1
22/03/11,14,"tipulid",1
23/03/11,25,"midge",1
23/03/11,27,"midge",1
23/03/11,30,"midge",1
23/03/11,31,"midge",1
23/03/11,35,"midge",2
24/03/11,23,"culicid",1
24/03/11,35,"midge",1
24/03/11,12,"culicid",1
24/03/11,5,"midge",1
27/03/11,23,"psychodid",1
27/03/11,26,"scirtes",1
27/03/11,36,"tipulid",1
27/03/11,5,"midge",1
27/03/11,10,"culicid",1
