"filter number","empty","full","eu","experiment"
1,1.3599,1.3625,1,"pred.div"
2,1.4163,1.8652,1,"pred.div"
3,1.3737,1.5005,1,"pred.div"
4,1.4198,1.5084,2,"pred.div"
5,1.3761,1.963,2,"pred.div"
6,1.4184,2.0779,4,"pred.div"
7,1.3696,2.0514,4,"pred.div"
8,1.4126,2.1025,5,"pred.div"
9,1.3763,1.5119,5,"pred.div"
10,1.4181,1.7161,7,"pred.div"
11,1.365,1.4791,7,"pred.div"
12,1.4112,1.8243,8,"pred.div"
13,1.3685,1.3946,8,"pred.div"
14,1.4116,1.995,10,"pred.div"
15,1.3688,1.3901,10,"pred.div"
16,1.4288,1.635,15,"pred.div"
17,1.3603,1.6979,15,"pred.div"
18,1.4286,1.4705,15,"pred.div"
19,1.3646,1.5385,3,"pred.div"
20,1.4243,1.447,3,"pred.div"
21,1.3657,1.7951,6,"pred.div"
22,1.4074,1.4776,6,"pred.div"
23,1.3663,1.8299,9,"pred.div"
24,1.4192,1.6791,11,"pred.div"
25,1.3943,1.7712,12,"pred.div"
26,1.462,1.974,13,"pred.div"
27,1.3746,1.4146,13,"pred.div"
28,1.4285,1.9527,14,"pred.div"
29,1.3807,1.4413,14,"pred.div"
30,1.4233,1.4731,16,"pred.div"
31,1.4205,1.8095,16,"pred.div"
32,1.3713,1.3302,"lxl4.1","lxl"
33,"NA",1.4014,"lxl4.2","lxl"
34,1.3903,1.3577,"lxl4.3","lxl"
35,1.425,1.4407,"lxl4.4","lxl"
36,1.3903,1.4038,"lxl4.5","lxl"
37,1.4269,1.4944,"lxl4.6","lxl"
38,1.3629,1.3772,"lxl4.7","lxl"
39,1.401,1.3774,"lxl4.8","lxl"
40,1.3568,1.3348,"lxl4.9","lxl"
41,1.3841,1.3561,"lxl4.9","lxl"
42,1.4183,1.6759,"lxl4.10","lxl"
43,1.3457,1.6966,"lxl4.11","lxl"
44,1.3868,1.4371,"lxl4.12","lxl"
45,1.356,1.5148,"lxl4.14","lxl"
46,1.4182,1.7575,"lxl4.15","lxl"
47,1.3611,1.537,"lxl4.13","lxl"
48,1.414,1.6389,"lxl4.16","lxl"
49,1.3659,1.3686,"lxl4.17","lxl"
50,1.3927,1.4439,"lxl4.18","lxl"
51,1.3548,1.3911,"lxl4.19","lxl"
52,1.4172,1.5474,"lxl4.20","lxl"
53,1.3591,1.5733,"lxl4.top","lxl"
54,1.3907,1.4574,"lxl5.1","lxl"
55,1.3603,1.4255,"lxl5.2","lxl"
56,1.3793,1.443,"lxl5.3","lxl"
57,1.3696,1.4025,"lxl5.4","lxl"
58,1.3886,1.4125,"lxl5.5","lxl"
59,1.3763,1.465,"lxl5.6","lxl"
60,1.3886,1.4383,"lxl5.7","lxl"
61,1.3726,1.4175,"lxl5.8","lxl"
62,1.4033,1.4594,"lxl5.9","lxl"
63,1.351,1.3799,"lxl5.10","lxl"
64,1.411,1.4588,"lxl5.11","lxl"
65,1.35,1.3866,"lxl5.12","lxl"
