"Taxa","Brom.3","Brom.46","Brom.95","Brom.102","Brom.16","Brom.48","Brom.85","Brom.64","Brom.82","Brom.77","Brom.7","Brom.1","Brom.4","Brom.53","Brom.40","Brom.79","Brom.A","Brom.B","Brom.C","Brom.D","Brom.E","Brom.F","Brom.G","Brom.H","Brom.I"
"Bezzia.sp1",0,0,0,0,0.00280356543536013,0,0,0,0,0.00370863135481917,0,0,0.00370863135481917,0,0.00280356543536013,0,0,0,0,0,0,0,0,0,0
"Bezzia.sp2",0,0,0,0,0,0.00598307384071534,0.00173780082874938,0.00527581189835225,0,0,0,0.00791457012703003,0,0,0.00598307384071534,0.00851138038202377,0,0,0,0,0,0,0,0,0
"Corethrella",0,0.00317940429647914,0.00366476066590445,0.00244317377726963,0.0091754267231323,0.00493021824345398,0,0.0144581602396075,0,0.00664897483147427,0.00122158688863482,0.00512928054998064,0.00720466072935016,0.00122158688863482,0.00512928054998064,0.010946343288782,0.00197076599378214,0,0,0.00122158688863482,0,0,0,0,0
"Dolichopodidae",0,0,0,0,0.00857170319960266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Empididae.sp1",0,0.00154082283964328,0,0,0,0.00154082283964328,0,0,0,0,0,0.00154082283964328,0,0.00154082283964328,0.00154082283964328,0.00467780388647478,0.00154082283964328,0,0,0,0,0,0,0,0
"Empididae.sp2",0,0,0.00154082283964328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00154082283964328,0,0.00154082283964328,0.00154082283964328,0,0,0
"Hirudinidae",0,0,0.0284558008558398,0.0376420945805039,0.00937306243337639,0,0,0,0,0,0,0.00580992883533278,0,0,0.0151214071411151,0,0.00580992883533278,0,0,0,0,0,0,0,0
"Leptagrion.andromache",0.0563056930688562,0.126035743474518,0,0.00284271441986899,0.0290095887009143,0.0476068122930561,0,0.0884066557961593,0,0,0.00982040541612278,0.00515518691074511,0.00811492593865421,0.0187771002091259,0.0437487933805921,0.0119889326312477,0,0,0.0282522574935984,0.00241563186759165,0,0.00192571049805398,0,0,0
"Leptagrion.elongatum",0,0,0,0,0,0.144166188951683,0,0.012257515247975,0,0,0,0.0104651567980766,0,0,0.0422788102729968,0.0881187992234122,0,0,0,0,0,0,0,0,0
"Leptagrion.tan",0,0,0,0,0.0652678172639196,0.0347233692528255,0,0.0265939568333226,0,0,0,0.00676736147211375,0.00241563186759165,0,0,0,0,0,0,0,0,0,0,0,0
"Monopelopia",0,0.000722003065688535,0,0.000447536379956816,0,0.00171374417733021,0,0.00248578409203898,0,0,0.000447536379956816,0.00365729218506559,0.00171374417733021,0.000447536379956816,0.00187914561827577,0.00289955474843365,0,0,0.00116479564614154,0,0,0,0,0,0
"Tabanidae.spC",0,0,0,0,0,0,0,0.0658541568388906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tabanidae.spA",0,0,0,0,0.0160699138372805,0,0,0.0669193344435119,0,0,0,0.148450966408166,0.0408199526530812,0,0,0.0845769482991935,0,0,0,0,0,0,0,0,0
"Tabanidae.spB",0,0,0,0,0,0,0,0.141344397458721,0,0,0,0.0408199526530812,0,0,0,0.0461054020190002,0,0,0,0,0,0,0,0,0
